course_id,url,platform,provider,subject,area,time-1,time-2,time-3,time-4,performance-1,performance-2,performance-3,performance-4,betweenness-1,betweenness-2,betweenness-3,betweenness-4,closeness-1,closeness-2,closeness-3,closeness-4,eigen-1,eigen-2,eigen-3,eigen-4
CourseTalk-2234,51727,CourseTalk,Coursera,Music and Art,Arts and Humanities,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-2235,51752,CourseTalk,Coursera,Entrepreneurship,Business,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-2236,50702,CourseTalk,Coursera,Bioinformatics,Life Sciences,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-2237,66116,CourseTalk,Coursera,Education,Social Sciences,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-2238,51451,CourseTalk,Coursera,Chemistry,Physical Science and Engineering,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-2239,51750,CourseTalk,Coursera,Computer Security and Networks,Computer Science,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-2240,51468,CourseTalk,Coursera,Probability and Statistics,Data Science,FALSE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-2241,51534,CourseTalk,Coursera,Music and Art,Arts and Humanities,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-2242,51784,CourseTalk,Coursera,Personal Development,Personal Development,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-2243,51788,CourseTalk,Coursera,Marketing,Business,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-2244,67445,CourseTalk,Coursera,Business Essentials,Business,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-2245,66112,CourseTalk,Coursera,Data Analysis,Data Science,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-2246,67349,CourseTalk,Coursera,Software Development,Computer Science,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-2247,67439,CourseTalk,Coursera,Software Development,Computer Science,FALSE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-2248,67485,CourseTalk,Coursera,Software Development,Computer Science,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-2249,67338,CourseTalk,Coursera,Other Languages,Language Learning,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-2250,67361,CourseTalk,Coursera,Software Development,Computer Science,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-2251,67337,CourseTalk,Coursera,Music and Art,Arts and Humanities,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-2252,67370,CourseTalk,Coursera,Software Development,Computer Science,FALSE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-2253,113055,CourseTalk,Coursera,Machine Learning,Data Science,NA,NA,NA,NA,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-2254,89865,CourseTalk,Coursera,Electrical Engineering,Physical Science and Engineering,FALSE,FALSE,FALSE,TRUE,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-2255,50485,CourseTalk,Coursera,Leadership and Management,Business,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-2256,67496,CourseTalk,Coursera,Clinical Science,Life Sciences,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-2257,50405,CourseTalk,Coursera,Philosophy,Arts and Humanities,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-2258,89819,CourseTalk,Coursera,Nutrition,Life Sciences,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-2259,92927,CourseTalk,Coursera,Environmental Science and Sustainability,Physical Science and Engineering,NA,NA,NA,NA,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-2260,50657,CourseTalk,Coursera,Personal Development,Personal Development,NA,NA,NA,NA,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-2261,50654,CourseTalk,Coursera,Business Essentials,Business,FALSE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-2262,50499,CourseTalk,Coursera,Mechanical Engineering,Physical Science and Engineering,FALSE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-2263,50665,CourseTalk,Coursera,Business Essentials,Business,FALSE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-2264,50784,CourseTalk,Coursera,Environmental Science and Sustainability,Physical Science and Engineering,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-2265,50398,CourseTalk,Coursera,Data Analysis,Data Science,FALSE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-2266,50771,CourseTalk,Coursera,Entrepreneurship,Business,FALSE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-2267,50545,CourseTalk,Coursera,Music and Art,Arts and Humanities,FALSE,FALSE,TRUE,TRUE,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CourseTalk-2268,50557,CourseTalk,Coursera,Law,Social Sciences,TRUE,TRUE,TRUE,TRUE,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
