course_id,title,provider,subject,school,time_school_ranking,total_review_rating,total_review_count,time,time_review_count,time_review_rating,time_avg_low_review,time_avg_moderate_review,time_avg_high_review,time_avg_helpful_review_score,time_avg_review_length,effort_hours (per_week),level,price,enrollment_type,course_length,url
classCentral-21,"Financial Programming and Policies, Part 1: Macroeconomic Accounts & Analysis",edX,Economics & Finance,International Monetary Fund,NA,4,1,4,0,0,0,0,0,0,0,9,Intermediate,25,FREE audit/Pay for certificate,6,https://www.class-central.com/mooc/1980/edx-financial-programming-and-policies-part-1-macroeconomic-accounts-analysis
classCentral-22,Retail Fundamentals,edX,Business & Management,Dartmouth,119,0,0,1,0,0,0,0,0,0,0,3.5,Intermediate,99,FREE audit/Pay for certificate,4,https://www.class-central.com/mooc/8513/edx-retail-fundamentals
classCentral-22,Retail Fundamentals,edX,Business & Management,Dartmouth,136,0,0,2,0,0,0,0,0,0,0,3.5,Intermediate,99,FREE audit/Pay for certificate,4,https://www.class-central.com/mooc/8513/edx-retail-fundamentals
classCentral-22,Retail Fundamentals,edX,Business & Management,Dartmouth,158,0,0,3,0,0,0,0,0,0,0,3.5,Intermediate,99,FREE audit/Pay for certificate,4,https://www.class-central.com/mooc/8513/edx-retail-fundamentals
classCentral-22,Retail Fundamentals,edX,Business & Management,Dartmouth,158,0,0,4,0,0,0,0,0,0,0,3.5,Intermediate,99,FREE audit/Pay for certificate,4,https://www.class-central.com/mooc/8513/edx-retail-fundamentals
classCentral-23,The Science of Learning - What Every Teacher Should Know,edX,Education & Teacher Training,Columbia University,14,0,0,1,0,0,0,0,0,0,0,5,Introductory,49,FREE audit/Pay for certificate,4,https://www.class-central.com/mooc/5725/edx-the-science-of-learning-what-every-teacher-should-know
classCentral-23,The Science of Learning - What Every Teacher Should Know,edX,Education & Teacher Training,Columbia University,14,0,0,2,0,0,0,0,0,0,0,5,Introductory,49,FREE audit/Pay for certificate,4,https://www.class-central.com/mooc/5725/edx-the-science-of-learning-what-every-teacher-should-know
classCentral-23,The Science of Learning - What Every Teacher Should Know,edX,Education & Teacher Training,Columbia University,22,0,0,3,0,0,0,0,0,0,0,5,Introductory,49,FREE audit/Pay for certificate,4,https://www.class-central.com/mooc/5725/edx-the-science-of-learning-what-every-teacher-should-know
classCentral-23,The Science of Learning - What Every Teacher Should Know,edX,Education & Teacher Training,Columbia University,20,0,0,4,0,0,0,0,0,0,0,5,Introductory,49,FREE audit/Pay for certificate,4,https://www.class-central.com/mooc/5725/edx-the-science-of-learning-what-every-teacher-should-know
classCentral-24,Accounting for Decision-Making,edX,Business & Management,Indian Institute of Management Bangalore,NA,0,0,1,0,0,0,0,0,0,0,4.5,Intermediate,150,FREE audit/Pay for certificate,7,https://www.class-central.com/mooc/7276/edx-accounting-for-decision-making
classCentral-24,Accounting for Decision-Making,edX,Business & Management,Indian Institute of Management Bangalore,NA,0,0,2,0,0,0,0,0,0,0,4.5,Intermediate,150,FREE audit/Pay for certificate,7,https://www.class-central.com/mooc/7276/edx-accounting-for-decision-making
classCentral-24,Accounting for Decision-Making,edX,Business & Management,Indian Institute of Management Bangalore,NA,0,0,3,0,0,0,0,0,0,0,4.5,Intermediate,150,FREE audit/Pay for certificate,7,https://www.class-central.com/mooc/7276/edx-accounting-for-decision-making
classCentral-24,Accounting for Decision-Making,edX,Business & Management,Indian Institute of Management Bangalore,NA,0,0,4,0,0,0,0,0,0,0,4.5,Intermediate,150,FREE audit/Pay for certificate,7,https://www.class-central.com/mooc/7276/edx-accounting-for-decision-making
classCentral-25,"The Future of Obamacare: Repeal, Repair, or Replace?",edX,Health & Safety,University of Michigan,22,0,0,1,0,0,0,0,0,0,0,3.5,Introductory,25,FREE audit/Pay for certificate,1,https://www.class-central.com/mooc/8261/edx-the-future-of-obamacare-repeal-repair-or-replace
classCentral-25,"The Future of Obamacare: Repeal, Repair, or Replace?",edX,Health & Safety,University of Michigan,23,0,0,2,0,0,0,0,0,0,0,3.5,Introductory,25,FREE audit/Pay for certificate,1,https://www.class-central.com/mooc/8261/edx-the-future-of-obamacare-repeal-repair-or-replace
classCentral-25,"The Future of Obamacare: Repeal, Repair, or Replace?",edX,Health & Safety,University of Michigan,30,0,0,3,0,0,0,0,0,0,0,3.5,Introductory,25,FREE audit/Pay for certificate,1,https://www.class-central.com/mooc/8261/edx-the-future-of-obamacare-repeal-repair-or-replace
classCentral-25,"The Future of Obamacare: Repeal, Repair, or Replace?",edX,Health & Safety,University of Michigan,23,0,0,4,0,0,0,0,0,0,0,3.5,Introductory,25,FREE audit/Pay for certificate,1,https://www.class-central.com/mooc/8261/edx-the-future-of-obamacare-repeal-repair-or-replace
classCentral-26,Leadership for Engineers,edX,Business & Management,Delft University of Technology,95,4.5,4,1,0,0,0,0,0,0,0,2.5,Intermediate,50,FREE audit/Pay for certificate,5,https://www.class-central.com/mooc/4672/edx-leadership-for-engineers
classCentral-26,Leadership for Engineers,edX,Business & Management,Delft University of Technology,86,4.5,4,2,0,0,0,0,0,0,0,2.5,Intermediate,50,FREE audit/Pay for certificate,5,https://www.class-central.com/mooc/4672/edx-leadership-for-engineers
