"","degree","closeness","betweenness","eigenvector","transitivity","constraint","url","time"
"866",22,9.19472590522077e-06,816.793788602908,0.0437428930539315,0.640782961822133,0.124404250254303,"https://www.class-central.com/mooc/1598/edx-greatest-unsolved-mysteries-of-the-universe",6
"867",95,9.20988404755984e-06,5887.7966703754,0.755724542388734,0.437044408475517,0.0372247067802445,"https://www.class-central.com/mooc/1781/edx-the-science-of-happiness",6
"868",2,9.15759301825108e-06,0,0.00157360302818436,1.00009032112949,0.820645301858825,"https://www.class-central.com/mooc/907/edx-solar-energy",6
"869",11,9.15801234500064e-06,4.38718770620025,0.01932287598965,1.00009032112949,0.279328685362457,"https://www.class-central.com/mooc/1566/edx-terrorism-and-counterterrorism",6
"870",38,9.201494322678e-06,2067.2742725825,0.0349100583435896,0.398383351001469,0.0721679800360977,"https://www.class-central.com/mooc/1236/edx-discrete-time-signals-and-systems-part-1-time-domain",6
"871",56,9.19185234208398e-06,75.2138661015677,0.741444285492382,0.969570840610011,0.0664849683227627,"https://www.class-central.com/mooc/2468/edx-china-part-8-creating-modern-china-the-birth-of-a-nation",6
"872",17,9.1751536838242e-06,0.04500880060347,0.0134218312799934,1.00009032112949,0.178815074450429,"https://www.class-central.com/mooc/3179/edx-international-law",6
"873",19,9.16111655688595e-06,160.934019775318,0.0185660222818757,0.590733595983293,0.148668236944487,"https://www.class-central.com/mooc/1484/edx-embedded-systems-shape-the-world-microcontroller-input-output",6
"874",7,9.16514677982568e-06,643.047646057856,0.00407703134480247,0.714376035415206,0.263999309783129,"https://www.class-central.com/mooc/1337/edx-linear-algebra-foundations-to-frontiers",6
"875",5,9.16472679949411e-06,0.619840632012198,0.0064366137953558,1.00009032112949,0.31977731679996,"https://www.class-central.com/mooc/3319/edx-linear-differential-equations",6
"876",35,9.19980128429226e-06,9.52445771665924,0.0651839453831603,1.00009032112949,0.0888724135492075,"https://www.class-central.com/mooc/1562/edx-american-capitalism-a-history",6
