course_id,title,provider,subject,school,time_school_ranking,total_review_rating,total_review_count,published_time,time,session_open,time_review_count,time_review_rating,time_avg_helpful_review_score,time_avg_moderate_review,time_avg_review_length,total_review_rating,time_avg_high_review,time_avg_low_review,effort_hours (per_week),level,price,enrollment_type,course_length,url,in-degree,out-degree,closeness,betweenness,eigenvector,transitivity
CourseTalk-14,"Fake News, Facts, and Alternative Facts",edX,Communication,University of Michigan,22,4,1,4,1,FALSE,0,0,0,0,0,4,0,0,3.5,Introductory,25,FREE audit/Pay for certificate,1,86960,NA,NA,NA,NA,NA,NA
CourseTalk-14,"Fake News, Facts, and Alternative Facts",edX,Communication,University of Michigan,23,4,1,4,2,FALSE,0,0,0,0,0,4,0,0,3.5,Introductory,25,FREE audit/Pay for certificate,1,86960,NA,NA,NA,NA,NA,NA
CourseTalk-14,"Fake News, Facts, and Alternative Facts",edX,Communication,University of Michigan,30,4,1,4,3,FALSE,0,0,0,0,0,4,0,0,3.5,Introductory,25,FREE audit/Pay for certificate,1,86960,NA,NA,NA,NA,NA,NA
CourseTalk-14,"Fake News, Facts, and Alternative Facts",edX,Communication,University of Michigan,23,4,1,4,4,TRUE,1,5.0,0.0,0.0,223.0,4,1.0,0.0,3.5,Introductory,25,FREE audit/Pay for certificate,1,86960,NA,NA,NA,NA,NA,NA
CourseTalk-15,Foundations of Development Policy: Advanced Development Economics,edX,Economics & Finance,Massachusetts Institute of Technology,1,5,9,3,1,FALSE,0,0,0,0,0,5,0,0,12,Intermediate,49,FREE audit/Pay for certificate,12,82884,NA,NA,NA,NA,NA,NA
CourseTalk-15,Foundations of Development Policy: Advanced Development Economics,edX,Economics & Finance,Massachusetts Institute of Technology,1,5,9,3,2,FALSE,0,0,0,0,0,5,0,0,12,Intermediate,49,FREE audit/Pay for certificate,12,82884,NA,NA,NA,NA,NA,NA
CourseTalk-15,Foundations of Development Policy: Advanced Development Economics,edX,Economics & Finance,Massachusetts Institute of Technology,1,5,9,3,3,TRUE,5,0.96,0.0,0.0,159.35999999999999,5,1.0,0.0,12,Intermediate,49,FREE audit/Pay for certificate,12,82884,NA,NA,NA,NA,NA,NA
CourseTalk-15,Foundations of Development Policy: Advanced Development Economics,edX,Economics & Finance,Massachusetts Institute of Technology,1,5,9,3,4,TRUE,4,1.1875,0.0,0.0,63.8125,5,1.0,0.0,12,Intermediate,49,FREE audit/Pay for certificate,12,82884,0,0,1.16087390587634e-05,0,4.91524724757188e-17,0
CourseTalk-16,Nutrition and Health Part 2: Micronutrients and Malnutrition,edX,Food & Nutrition,Wageningen University,150,5,22,NA,1,NA,0,0,0,0,0,5,0,0,7,Intermediate,0,FREE audit,7,45517,NA,NA,NA,NA,NA,NA
CourseTalk-16,Nutrition and Health Part 2: Micronutrients and Malnutrition,edX,Food & Nutrition,Wageningen University,151,5,22,NA,2,NA,0,0,0,0,0,5,0,0,7,Intermediate,0,FREE audit,7,45517,NA,NA,NA,NA,NA,NA
CourseTalk-16,Nutrition and Health Part 2: Micronutrients and Malnutrition,edX,Food & Nutrition,Wageningen University,135,5,22,NA,3,NA,22,0.21694214876033058,0.0,0.0,17.99793388429752,5,0.9545454545454546,0.002066115702479339,7,Intermediate,0,FREE audit,7,45517,0,0,4.92732200049273e-06,0,0,0
CourseTalk-16,Nutrition and Health Part 2: Micronutrients and Malnutrition,edX,Food & Nutrition,Wageningen University,119,5,22,NA,4,NA,0,0,0,0,0,5,0,0,7,Intermediate,0,FREE audit,7,45517,NA,NA,NA,NA,NA,NA
CourseTalk-17,Making Sense of News,edX,Art & Culture,The University of Hong Kong,26,5,8,2,1,FALSE,0,0,0,0,0,5,0,0,2.5,Introductory,50,FREE audit/Pay for certificate,5,41391,NA,NA,NA,NA,NA,NA
CourseTalk-17,Making Sense of News,edX,Art & Culture,The University of Hong Kong,28,5,8,2,2,TRUE,1,5.0,0.0,0.0,44.0,5,1.0,0.0,2.5,Introductory,50,FREE audit/Pay for certificate,5,41391,NA,NA,NA,NA,NA,NA
CourseTalk-17,Making Sense of News,edX,Art & Culture,The University of Hong Kong,30,5,8,2,3,TRUE,7,0.7142857142857143,0.04081632653061224,0.0,55.95918367346939,5,1.0,0.0,2.5,Introductory,50,FREE audit/Pay for certificate,5,41391,NA,NA,NA,NA,NA,NA
CourseTalk-17,Making Sense of News,edX,Art & Culture,The University of Hong Kong,27,5,8,2,4,FALSE,0,0,0,0,0,5,0,0,2.5,Introductory,50,FREE audit/Pay for certificate,5,41391,NA,NA,NA,NA,NA,NA
CourseTalk-18,Democratic to Authoritarian Rule,edX,History,University of Michigan,22,4,1,4,1,FALSE,0,0,0,0,0,4,0,0,3.5,Introductory,25,FREE audit/Pay for certificate,1,86958,NA,NA,NA,NA,NA,NA
CourseTalk-18,Democratic to Authoritarian Rule,edX,History,University of Michigan,23,4,1,4,2,FALSE,0,0,0,0,0,4,0,0,3.5,Introductory,25,FREE audit/Pay for certificate,1,86958,NA,NA,NA,NA,NA,NA
CourseTalk-18,Democratic to Authoritarian Rule,edX,History,University of Michigan,30,4,1,4,3,FALSE,0,0,0,0,0,4,0,0,3.5,Introductory,25,FREE audit/Pay for certificate,1,86958,NA,NA,NA,NA,NA,NA
CourseTalk-18,Democratic to Authoritarian Rule,edX,History,University of Michigan,23,4,1,4,4,TRUE,1,5.0,0.0,0.0,229.0,4,1.0,0.0,3.5,Introductory,25,FREE audit/Pay for certificate,1,86958,NA,NA,NA,NA,NA,NA
CourseTalk-19,Alien Worlds: The Science of Exoplanet Discovery and Characterization,edX,Science,Boston University,79,4,1,2,1,TRUE,0,0,0,0,0,4,0,0,6,Introductory,25,FREE audit/Pay for certificate,9,16427,NA,NA,NA,NA,NA,NA
CourseTalk-19,Alien Worlds: The Science of Exoplanet Discovery and Characterization,edX,Science,Boston University,78,4,1,2,2,TRUE,0,0,0,0,0,4,0,0,6,Introductory,25,FREE audit/Pay for certificate,9,16427,NA,NA,NA,NA,NA,NA
CourseTalk-19,Alien Worlds: The Science of Exoplanet Discovery and Characterization,edX,Science,Boston University,91,4,1,2,3,TRUE,0,0,0,0,0,4,0,0,6,Introductory,25,FREE audit/Pay for certificate,9,16427,NA,NA,NA,NA,NA,NA
CourseTalk-19,Alien Worlds: The Science of Exoplanet Discovery and Characterization,edX,Science,Boston University,89,4,1,2,4,FALSE,1,5.0,0.0,0.0,192.0,4,1.0,0.0,6,Introductory,25,FREE audit/Pay for certificate,9,16427,NA,NA,NA,NA,NA,NA
CourseTalk-20,Design Thinking for Leading and Learning,edX,Education & Teacher Training,Massachusetts Institute of Technology,1,4,1,4,1,FALSE,0,0,0,0,0,4,0,0,2,Intermediate,49,FREE audit/Pay for certificate,6,80336,NA,NA,NA,NA,NA,NA
CourseTalk-20,Design Thinking for Leading and Learning,edX,Education & Teacher Training,Massachusetts Institute of Technology,1,4,1,4,2,FALSE,0,0,0,0,0,4,0,0,2,Intermediate,49,FREE audit/Pay for certificate,6,80336,NA,NA,NA,NA,NA,NA
CourseTalk-20,Design Thinking for Leading and Learning,edX,Education & Teacher Training,Massachusetts Institute of Technology,1,4,1,4,3,FALSE,0,0,0,0,0,4,0,0,2,Intermediate,49,FREE audit/Pay for certificate,6,80336,NA,NA,NA,NA,NA,NA
CourseTalk-20,Design Thinking for Leading and Learning,edX,Education & Teacher Training,Massachusetts Institute of Technology,1,4,1,4,4,TRUE,1,5.0,0.0,0.0,101.0,4,1.0,0.0,2,Intermediate,49,FREE audit/Pay for certificate,6,80336,NA,NA,NA,NA,NA,NA
CourseTalk-21,International Law,edX,Law,null,NA,5,66,2,1,FALSE,0,0,0,0,0,5,0,0,6,Advanced,150,FREE audit/Pay for certificate,8,78566,NA,NA,NA,NA,NA,NA
CourseTalk-21,International Law,edX,Law,null,NA,5,66,2,2,TRUE,13,0.34911242603550297,0.0,0.00591715976331361,19.49112426035503,5,0.9230769230769231,0.0,6,Advanced,150,FREE audit/Pay for certificate,8,78566,2,1,4.44385193085366e-05,360,1.37850673671809e-13,2.70328719723183e-05
CourseTalk-21,International Law,edX,Law,null,NA,5,66,2,3,TRUE,40,0.12062500000000001,0.00125,0.001875,10.753125,5,0.925,0.0,6,Advanced,150,FREE audit/Pay for certificate,8,78566,0,0,4.92732200049273e-06,0,0,0
CourseTalk-21,International Law,edX,Law,null,NA,5,66,2,4,TRUE,13,0.35502958579881655,0.0,0.01183431952662722,41.13609467455621,5,0.8461538461538461,0.0,6,Advanced,150,FREE audit/Pay for certificate,8,78566,0,0,1.16087390587634e-05,0,4.91524724757188e-17,0
CourseTalk-22,DemoX,edX,Education & Teacher Training,null,NA,4,120,NA,1,NA,0,0,0,0,0,4,0,0,1,Introductory,NA,NA,NA,34575,NA,NA,NA,NA,NA,NA
CourseTalk-22,DemoX,edX,Education & Teacher Training,null,NA,4,120,NA,2,NA,30,0.1627777777777778,0.006666666666666667,0.0011111111111111111,6.375555555555556,4,0.9666666666666667,0.0,1,Introductory,NA,NA,NA,34575,0,0,1.35663121337096e-05,0,1.05817167598929e-17,0
