cliq,freq
"['Business & Management', 'History', 'Software Development']",49
"['History', 'Law', 'Music and Art']",49
"['Biology & Life Sciences', 'Computer Science', 'Medicine & Healthcare']",49
"['Mobile and Web Development', 'Probability and Statistics', 'Psychology']",49
"['Mechanical Engineering', 'Mobile and Web Development', 'Psychology']",49
"['Bioinformatics', 'Mobile and Web Development', 'Software Development']",49
"['Computer Science', 'Medicine & Healthcare', 'Software Development']",49
"['Finance', 'History', 'Mechanical Engineering']",49
"['Computer Science', 'History', 'Learning English']",49
"['Computer Science', 'Computer Security and Networks', 'History']",49
"['Biology', 'Entrepreneurship', 'Music and Art']",49
"['Biology & Life Sciences', 'Computer Science', 'Philosophy']",48
"['Bioinformatics', 'Computer Science', 'Computer Science']",48
